,Productno,Product,Presentprice,Pastprice,Offer,Rating
182, 183, Apple ipad Mini (2019) 256 GB ROM 7.9 inch with Wi-Fi O...," 46,900 INR"," 48,900 INR", 4% off,4.7
183, 184, Apple iPad Air 256 GB ROM 10.5 inch with Wi-Fi Only (Si...," 56,900 INR"," 58,900 INR", 3% off,4.7
184, 185, Apple iPad Air 64 GB ROM 10.5 inch with Wi-Fi Only (Gol...," 44,900 INR", one INR, None,4.7
185, 186, Apple ipad Mini (2019) 256 GB ROM 7.9 inch with Wi-Fi+4...," 54,900 INR"," 59,900 INR", 8% off,4.7
186, 187, Apple ipad Mini (2019) 64 GB ROM 7.9 inch with Wi-Fi+4G...," 43,900 INR"," 45,900 INR", 4% off,4.7
187, 188, Apple iPad Pro 2020 (2nd Generation) 6 GB RAM 256 GB RO...," 94,900 INR", one INR, None,4.8
188, 189, Apple iPad Pro 2020 (2nd Generation) 6 GB RAM 512 GB RO...," 98,900 INR", one INR, None,4.8
189, 190, Apple ipad Mini (2019) 256 GB ROM 7.9 inch with Wi-Fi O...," 46,900 INR"," 48,900 INR", 4% off,4.7
190, 191, Apple iPad (7th Gen) 32 GB ROM 10.2 inch with Wi-Fi+4G ...," 38,900 INR"," 40,900 INR", 4% off,4.7
191, 192, Apple iPad Pro 2020 (2nd Generation) 6 GB RAM 1 TB ROM ...," 1,16,900 INR", one INR, None,4.8
192, 193, Apple iPad Pro 2020 (4th Generation) 6 GB RAM 512 GB RO...," 1,30,900 INR", one INR, None,4.8
193, 194, Apple iPad Pro 2020 (2nd Generation) 6 GB RAM 512 GB RO...," 98,900 INR", one INR, None,4.8
194, 195, Apple iPad Pro 2020 (4th Generation) 6 GB RAM 512 GB RO...," 1,30,900 INR", one INR, None,4.8
195, 196, Apple iPad Pro 2020 (2nd Generation) 6 GB RAM 512 GB RO...," 1,12,900 INR", one INR, None,4.8
196, 197, Apple iPad Pro 2020 (4th Generation) 6 GB RAM 1 TB ROM ...," 1,48,900 INR", one INR, None,4.8
197, 198, Apple iPad Pro 2020 (2nd Generation) 6 GB RAM 512 GB RO...," 1,12,900 INR", one INR, None,4.8
198, 199, Apple iPad Pro 2020 (2nd Generation) 6 GB RAM 1 TB ROM ...," 1,30,900 INR", one INR, None,4.8
199, 200, Apple iPad Pro 2020 (2nd Generation) 6 GB RAM 1 TB ROM ...," 1,16,900 INR", one INR, None,4.8
200, 201, Apple iPad (7th Gen) 32 GB ROM 10.2 inch with Wi-Fi Onl...," 25,900 INR"," 29,900 INR", 13% off,4.7
201, 202, Apple iPad (7th Gen) 128 GB ROM 10.2 inch with Wi-Fi On...," 33,900 INR"," 37,900 INR", 10% off,4.7
